ccaa.shortname.es,prov.shortname.es,LAU_CODE,name
Andalucía,Almería,04001,Abla
Andalucía,Almería,04002,Abrucena
Andalucía,Almería,04003,Adra
Andalucía,Almería,04004,Albanchez
Andalucía,Almería,04005,Alboloduy
Andalucía,Almería,04006,Albox
Andalucía,Almería,04007,Alcolea
Andalucía,Almería,04008,Alcóntar
Andalucía,Almería,04009,Alcudia De Monteagud
Andalucía,Almería,04010,Alhabia
Andalucía,Almería,04011,Alhama De Almería
Andalucía,Almería,04012,Alicún
Andalucía,Almería,04013,Almería
Andalucía,Almería,04014,Almócita
Andalucía,Almería,04015,Alsodux
Andalucía,Almería,04016,Antas
Andalucía,Almería,04017,Arboleas
Andalucía,Almería,04018,Armuña De Almanzora
Andalucía,Almería,04019,Bacares
Andalucía,Almería,04020,Bayárcal
Andalucía,Almería,04021,Bayarque
Andalucía,Almería,04022,Bédar
Andalucía,Almería,04023,Beires
Andalucía,Almería,04024,Benahadux
Andalucía,Almería,04026,Benitagla
Andalucía,Almería,04027,Benizalón
Andalucía,Almería,04028,Bentarique
Andalucía,Almería,04029,Berja
Andalucía,Almería,04030,Canjáyar
Andalucía,Almería,04031,Cantoria
Andalucía,Almería,04032,Carboneras
Andalucía,Almería,04033,Castro De Filabres
Andalucía,Almería,04034,Cóbdar
Andalucía,Almería,04035,Cuevas Del Almanzora
Andalucía,Almería,04036,Chercos
Andalucía,Almería,04037,Chirivel
Andalucía,Almería,04038,Dalías
Andalucía,Almería,04041,Enix
Andalucía,Almería,04043,Felix
Andalucía,Almería,04044,Fines
Andalucía,Almería,04045,Fiñana
Andalucía,Almería,04046,Fondón
Andalucía,Almería,04047,Gádor
Andalucía,Almería,04048,Los Gallardos
Andalucía,Almería,04049,Garrucha
Andalucía,Almería,04050,Gérgal
Andalucía,Almería,04051,Huécija
Andalucía,Almería,04052,Huércal De Almería
Andalucía,Almería,04053,Huércal-Overa
Andalucía,Almería,04054,Íllar
Andalucía,Almería,04055,Instinción
Andalucía,Almería,04056,Laroya
Andalucía,Almería,04057,Láujar De Andarax
Andalucía,Almería,04058,Líjar
Andalucía,Almería,04059,Lubrín
Andalucía,Almería,04060,Lucainena De Las Torres
Andalucía,Almería,04061,Lúcar
Andalucía,Almería,04062,Macael
Andalucía,Almería,04063,María
Andalucía,Almería,04064,Mojácar
Andalucía,Almería,04065,Nacimiento
Andalucía,Almería,04066,Níjar
Andalucía,Almería,04067,Ohanes
Andalucía,Almería,04068,Olula De Castro
Andalucía,Almería,04069,Olula Del Río
Andalucía,Almería,04070,Oria
Andalucía,Almería,04071,Padules
Andalucía,Almería,04072,Partaloa
Andalucía,Almería,04073,Paterna Del Río
Andalucía,Almería,04074,Pechina
Andalucía,Almería,04075,Pulpí
Andalucía,Almería,04076,Purchena
Andalucía,Almería,04077,Rágol
Andalucía,Almería,04078,Rioja
Andalucía,Almería,04079,Roquetas De Mar
Andalucía,Almería,04080,Santa Cruz De Marchena
Andalucía,Almería,04081,Santa Fe De Mondújar
Andalucía,Almería,04082,Senés
Andalucía,Almería,04083,Serón
Andalucía,Almería,04084,Sierro
Andalucía,Almería,04085,Somontín
Andalucía,Almería,04086,Sorbas
Andalucía,Almería,04087,Suflí
Andalucía,Almería,04088,Tabernas
Andalucía,Almería,04089,Taberno
Andalucía,Almería,04090,Tahal
Andalucía,Almería,04091,Terque
Andalucía,Almería,04092,Tíjola
Andalucía,Almería,04093,Turre
Andalucía,Almería,04094,Turrillas
Andalucía,Almería,04095,Uleila Del Campo
Andalucía,Almería,04096,Urrácal
Andalucía,Almería,04097,Velefique
Andalucía,Almería,04098,Vélez-Blanco
Andalucía,Almería,04099,Vélez-Rubio
Andalucía,Almería,04100,Vera
Andalucía,Almería,04101,Viator
Andalucía,Almería,04102,Vícar
Andalucía,Almería,04103,Zurgena
Andalucía,Almería,04901,Doña María Ocaña
Andalucía,Almería,04902,El Ejido
Andalucía,Almería,04903,La Mojonera
Andalucía,Almería,04904,Balanegra
Andalucía,Cádiz,11001,Alcalá De Los Gazules
Andalucía,Cádiz,11002,Alcalá Del Valle
Andalucía,Cádiz,11003,Algar
Andalucía,Cádiz,11004,Algeciras
Andalucía,Cádiz,11005,Algodonales
Andalucía,Cádiz,11006,Arcos De La Frontera
Andalucía,Cádiz,11007,Barbate
Andalucía,Cádiz,11008,Los Barrios
Andalucía,Cádiz,11009,Benaocaz
Andalucía,Cádiz,11010,Bornos
Andalucía,Cádiz,11011,El Bosque
Andalucía,Cádiz,11012,Cádiz
Andalucía,Cádiz,11013,Castellar De La Frontera
Andalucía,Cádiz,11014,Conil De La Frontera
Andalucía,Cádiz,11015,Chiclana De La Frontera
Andalucía,Cádiz,11016,Chipiona
Andalucía,Cádiz,11017,Espera
Andalucía,Cádiz,11018,El Gastor
Andalucía,Cádiz,11019,Grazalema
Andalucía,Cádiz,11020,Jerez De La Frontera
Andalucía,Cádiz,11021,Jimena De La Frontera
Andalucía,Cádiz,11022,La Línea De La Concepción
Andalucía,Cádiz,11023,Medina Sidonia
Andalucía,Cádiz,11024,Olvera
Andalucía,Cádiz,11025,Paterna De Rivera
Andalucía,Cádiz,11026,Prado Del Rey
Andalucía,Cádiz,11027,El Puerto De Santa María
Andalucía,Cádiz,11028,Puerto Real
Andalucía,Cádiz,11029,Puerto Serrano
Andalucía,Cádiz,11030,Rota
Andalucía,Cádiz,11031,San Fernando
Andalucía,Cádiz,11032,Sanlúcar De Barrameda
Andalucía,Cádiz,11033,San Roque
Andalucía,Cádiz,11034,Setenil De Las Bodegas
Andalucía,Cádiz,11035,Tarifa
Andalucía,Cádiz,11036,Torre Alháquime
Andalucía,Cádiz,11037,Trebujena
Andalucía,Cádiz,11038,Ubrique
Andalucía,Cádiz,11039,Vejer De La Frontera
Andalucía,Cádiz,11040,Villaluenga Del Rosario
Andalucía,Cádiz,11041,Villamartín
Andalucía,Cádiz,11042,Zahara
Andalucía,Cádiz,11901,Benalup-Casas Viejas
Andalucía,Cádiz,11902,San José Del Valle
Andalucía,Cádiz,11903,San Martín Del Tesorillo
Andalucía,Córdoba,14001,Adamuz
Andalucía,Córdoba,14002,Aguilar De La Frontera
Andalucía,Córdoba,14003,Alcaracejos
Andalucía,Córdoba,14004,Almedinilla
Andalucía,Córdoba,14005,Almodóvar Del Río
Andalucía,Córdoba,14006,Añora
Andalucía,Córdoba,14007,Baena
Andalucía,Córdoba,14008,Belalcázar
Andalucía,Córdoba,14009,Belmez
Andalucía,Córdoba,14010,Benamejí
Andalucía,Córdoba,14011,Los Blázquez
Andalucía,Córdoba,14012,Bujalance
Andalucía,Córdoba,14013,Cabra
Andalucía,Córdoba,14014,Cañete De Las Torres
Andalucía,Córdoba,14015,Carcabuey
Andalucía,Córdoba,14016,Cardeña
Andalucía,Córdoba,14017,La Carlota
Andalucía,Córdoba,14018,El Carpio
Andalucía,Córdoba,14019,Castro Del Río
Andalucía,Córdoba,14020,Conquista
Andalucía,Córdoba,14021,Córdoba
Andalucía,Córdoba,14022,Doña Mencía
Andalucía,Córdoba,14023,Dos Torres
Andalucía,Córdoba,14024,Encinas Reales
Andalucía,Córdoba,14025,Espejo
Andalucía,Córdoba,14026,Espiel
Andalucía,Córdoba,14027,Fernán-Núñez
Andalucía,Córdoba,14028,Fuente La Lancha
Andalucía,Córdoba,14029,Fuente Obejuna
Andalucía,Córdoba,14030,Fuente Palmera
Andalucía,Córdoba,14031,Fuente-Tójar
Andalucía,Córdoba,14032,La Granjuela
Andalucía,Córdoba,14033,Guadalcázar
Andalucía,Córdoba,14034,El Guijo
Andalucía,Córdoba,14035,Hinojosa Del Duque
Andalucía,Córdoba,14036,Hornachuelos
Andalucía,Córdoba,14037,Iznájar
Andalucía,Córdoba,14038,Lucena
Andalucía,Córdoba,14039,Luque
Andalucía,Córdoba,14040,Montalbán De Córdoba
Andalucía,Córdoba,14041,Montemayor
Andalucía,Córdoba,14042,Montilla
Andalucía,Córdoba,14043,Montoro
Andalucía,Córdoba,14044,Monturque
Andalucía,Córdoba,14045,Moriles
Andalucía,Córdoba,14046,Nueva Carteya
Andalucía,Córdoba,14047,Obejo
Andalucía,Córdoba,14048,Palenciana
Andalucía,Córdoba,14049,Palma Del Río
Andalucía,Córdoba,14050,Pedro Abad
Andalucía,Córdoba,14051,Pedroche
Andalucía,Córdoba,14052,Peñarroya-Pueblonuevo
Andalucía,Córdoba,14053,Posadas
Andalucía,Córdoba,14054,Pozoblanco
Andalucía,Córdoba,14055,Priego De Córdoba
Andalucía,Córdoba,14056,Puente Genil
Andalucía,Córdoba,14057,La Rambla
Andalucía,Córdoba,14058,Rute
Andalucía,Córdoba,14059,San Sebastián De Los Ballesteros
Andalucía,Córdoba,14060,Santaella
Andalucía,Córdoba,14061,Santa Eufemia
Andalucía,Córdoba,14062,Torrecampo
Andalucía,Córdoba,14063,Valenzuela
Andalucía,Córdoba,14064,Valsequillo
Andalucía,Córdoba,14065,La Victoria
Andalucía,Córdoba,14066,Villa Del Río
Andalucía,Córdoba,14067,Villafranca De Córdoba
Andalucía,Córdoba,14068,Villaharta
Andalucía,Córdoba,14069,Villanueva De Córdoba
Andalucía,Córdoba,14070,Villanueva Del Duque
Andalucía,Córdoba,14071,Villanueva Del Rey
Andalucía,Córdoba,14072,Villaralto
Andalucía,Córdoba,14073,Villaviciosa De Córdoba
Andalucía,Córdoba,14074,El Viso
Andalucía,Córdoba,14075,Zuheros
Andalucía,Córdoba,14901,Aldea De Fuente Carreteros
Andalucía,Córdoba,14902,La Guijarrosa
Andalucía,Granada,18001,Agrón
Andalucía,Granada,18002,Alamedilla
Andalucía,Granada,18003,Albolote
Andalucía,Granada,18004,Albondón
Andalucía,Granada,18005,Albuñán
Andalucía,Granada,18006,Albuñol
Andalucía,Granada,18007,Albuñuelas
Andalucía,Granada,18010,Aldeire
Andalucía,Granada,18011,Alfacar
Andalucía,Granada,18012,Algarinejo
Andalucía,Granada,18013,Alhama De Granada
Andalucía,Granada,18014,Alhendín
Andalucía,Granada,18015,Alicún De Ortega
Andalucía,Granada,18016,Almegíjar
Andalucía,Granada,18017,Almuñécar
Andalucía,Granada,18018,Alquife
Andalucía,Granada,18020,Arenas Del Rey
Andalucía,Granada,18021,Armilla
Andalucía,Granada,18022,Atarfe
Andalucía,Granada,18023,Baza
Andalucía,Granada,18024,Beas De Granada
Andalucía,Granada,18025,Beas De Guadix
Andalucía,Granada,18027,Benalúa
Andalucía,Granada,18028,Benalúa De Las Villas
Andalucía,Granada,18029,Benamaurel
Andalucía,Granada,18030,Bérchules
Andalucía,Granada,18032,Bubión
Andalucía,Granada,18033,Busquístar
Andalucía,Granada,18034,Cacín
Andalucía,Granada,18035,Cádiar
Andalucía,Granada,18036,Cájar
Andalucía,Granada,18037,Calicasas
Andalucía,Granada,18038,Campotéjar
Andalucía,Granada,18039,Caniles
Andalucía,Granada,18040,Cáñar
Andalucía,Granada,18042,Capileira
Andalucía,Granada,18043,Carataunas
Andalucía,Granada,18044,Cástaras
Andalucía,Granada,18045,Castilléjar
Andalucía,Granada,18046,Castril
Andalucía,Granada,18047,Cenes De La Vega
Andalucía,Granada,18048,Cijuela
Andalucía,Granada,18049,Cogollos De Guadix
Andalucía,Granada,18050,Cogollos De La Vega
Andalucía,Granada,18051,Colomera
Andalucía,Granada,18053,Cortes De Baza
Andalucía,Granada,18054,Graena
Andalucía,Granada,18056,Cúllar
Andalucía,Granada,18057,Cúllar Vega
Andalucía,Granada,18059,Chauchina
Andalucía,Granada,18061,Chimeneas
Andalucía,Granada,18062,Churriana De La Vega
Andalucía,Granada,18063,Darro
Andalucía,Granada,18064,Dehesas De Guadix
Andalucía,Granada,18065,Dehesas Viejas
Andalucía,Granada,18066,Deifontes
Andalucía,Granada,18067,Diezma
Andalucía,Granada,18068,Dílar
Andalucía,Granada,18069,Dólar
Andalucía,Granada,18070,Dúdar
Andalucía,Granada,18071,Dúrcal
Andalucía,Granada,18072,Escúzar
Andalucía,Granada,18074,Ferreira
Andalucía,Granada,18076,Fonelas
Andalucía,Granada,18077,Fornes
Andalucía,Granada,18078,Freila
Andalucía,Granada,18079,Fuente Vaqueros
Andalucía,Granada,18082,Galera
Andalucía,Granada,18083,Gobernador
Andalucía,Granada,18084,Gójar
Andalucía,Granada,18085,Gor
Andalucía,Granada,18086,Gorafe
Andalucía,Granada,18087,Granada
Andalucía,Granada,18088,Guadahortuna
Andalucía,Granada,18089,Guadix
Andalucía,Granada,18093,Castell De Ferro
Andalucía,Granada,18094,Güéjar Sierra
Andalucía,Granada,18095,Güevéjar
Andalucía,Granada,18096,Huélago
Andalucía,Granada,18097,Huéneja
Andalucía,Granada,18098,Huéscar
Andalucía,Granada,18099,Huétor De Santillán
Andalucía,Granada,18100,Huétor Tájar
Andalucía,Granada,18101,Huétor Vega
Andalucía,Granada,18102,Íllora
Andalucía,Granada,18103,Ítrabo
Andalucía,Granada,18105,Iznalloz
Andalucía,Granada,18106,Játar
Andalucía,Granada,18107,Jayena
Andalucía,Granada,18108,Jérez Del Marquesado
Andalucía,Granada,18109,Jete
Andalucía,Granada,18111,Jun
Andalucía,Granada,18112,Juviles
Andalucía,Granada,18114,La Calahorra
Andalucía,Granada,18115,Láchar
Andalucía,Granada,18116,Lanjarón
Andalucía,Granada,18117,Lanteira
Andalucía,Granada,18119,Lecrín
Andalucía,Granada,18120,Lentegí
Andalucía,Granada,18121,Lobras
Andalucía,Granada,18122,Loja
Andalucía,Granada,18123,Lugros
Andalucía,Granada,18124,Lújar
Andalucía,Granada,18126,La Malahá
Andalucía,Granada,18127,Maracena
Andalucía,Granada,18128,Marchal
Andalucía,Granada,18132,Moclín
Andalucía,Granada,18133,Molvízar
Andalucía,Granada,18134,Monachil
Andalucía,Granada,18135,Montefrío
Andalucía,Granada,18136,Montejícar
Andalucía,Granada,18137,Montillana
Andalucía,Granada,18138,Moraleda De Zafayona
Andalucía,Granada,18140,Motril
Andalucía,Granada,18141,Murtas
Andalucía,Granada,18143,Nigüelas
Andalucía,Granada,18144,Nívar
Andalucía,Granada,18145,Ogíjares
Andalucía,Granada,18146,Orce
Andalucía,Granada,18147,Órgiva
Andalucía,Granada,18148,Otívar
Andalucía,Granada,18149,Villa De Otura
Andalucía,Granada,18150,Padul
Andalucía,Granada,18151,Pampaneira
Andalucía,Granada,18152,Pedro Martínez
Andalucía,Granada,18153,Peligros
Andalucía,Granada,18154,La Peza
Andalucía,Granada,18157,Pinos Genil
Andalucía,Granada,18158,Pinos Puente
Andalucía,Granada,18159,Píñar
Andalucía,Granada,18161,Polícar
Andalucía,Granada,18162,La Mamola
Andalucía,Granada,18163,Pórtugos
Andalucía,Granada,18164,Puebla De Don Fadrique
Andalucía,Granada,18165,Pulianas
Andalucía,Granada,18167,Purullena
Andalucía,Granada,18168,Quéntar
Andalucía,Granada,18170,Rubite
Andalucía,Granada,18171,Salar
Andalucía,Granada,18173,Salobreña
Andalucía,Granada,18174,Santa Cruz Del Comercio
Andalucía,Granada,18175,Santa Fe
Andalucía,Granada,18176,Soportújar
Andalucía,Granada,18177,Sorvilán
Andalucía,Granada,18178,Torre-Cardela
Andalucía,Granada,18179,Torvizcón
Andalucía,Granada,18180,Trevélez
Andalucía,Granada,18181,Turón
Andalucía,Granada,18182,Ugíjar
Andalucía,Granada,18183,Válor
Andalucía,Granada,18184,Vélez De Benaudalla
Andalucía,Granada,18185,Ventas De Huelma
Andalucía,Granada,18187,Villanueva De Las Torres
Andalucía,Granada,18188,Villanueva Mesía
Andalucía,Granada,18189,Víznar
Andalucía,Granada,18192,Zafarraya
Andalucía,Granada,18193,La Zubia
Andalucía,Granada,18194,Zújar
Andalucía,Granada,18901,Pitres
Andalucía,Granada,18902,Restábal
Andalucía,Granada,18903,Laroles
Andalucía,Granada,18904,Mecina-Bombarón
Andalucía,Granada,18905,Gabia La Grande
Andalucía,Granada,18906,Guájar-Faragüit
Andalucía,Granada,18907,Alcudia De Guadix
Andalucía,Granada,18908,Cozvíjar
Andalucía,Granada,18909,Moreda
Andalucía,Granada,18910,Izbor
Andalucía,Granada,18911,Purchil
Andalucía,Granada,18912,Cuevas Del Campo
Andalucía,Granada,18913,Zagra
Andalucía,Granada,18914,Valderrubio
Andalucía,Granada,18915,Domingo Pérez De Granada
Andalucía,Granada,18916,Torrenueva Costa
Andalucía,Huelva,21001,Alájar
Andalucía,Huelva,21002,Aljaraque
Andalucía,Huelva,21003,El Almendro
Andalucía,Huelva,21004,Almonaster La Real
Andalucía,Huelva,21005,Almonte
Andalucía,Huelva,21006,Alosno
Andalucía,Huelva,21007,Aracena
Andalucía,Huelva,21008,Aroche
Andalucía,Huelva,21009,Arroyomolinos De León
Andalucía,Huelva,21010,Ayamonte
Andalucía,Huelva,21011,Beas
Andalucía,Huelva,21012,Berrocal
Andalucía,Huelva,21013,Bollullos Par Del Condado
Andalucía,Huelva,21014,Bonares
Andalucía,Huelva,21015,Cabezas Rubias
Andalucía,Huelva,21016,Cala
Andalucía,Huelva,21017,Calañas
Andalucía,Huelva,21018,El Campillo
Andalucía,Huelva,21019,Campofrío
Andalucía,Huelva,21020,Cañaveral De León
Andalucía,Huelva,21021,Cartaya
Andalucía,Huelva,21022,Castaño Del Robledo
Andalucía,Huelva,21023,El Cerro De Andévalo
Andalucía,Huelva,21024,Corteconcepción
Andalucía,Huelva,21025,Cortegana
Andalucía,Huelva,21026,Cortelazor
Andalucía,Huelva,21027,Cumbres De Enmedio
Andalucía,Huelva,21028,Cumbres De San Bartolomé
Andalucía,Huelva,21029,Cumbres Mayores
Andalucía,Huelva,21030,Chucena
Andalucía,Huelva,21031,Encinasola
Andalucía,Huelva,21032,Escacena Del Campo
Andalucía,Huelva,21033,Fuenteheridos
Andalucía,Huelva,21034,Galaroza
Andalucía,Huelva,21035,Gibraleón
Andalucía,Huelva,21036,La Granada De Río-Tinto
Andalucía,Huelva,21037,El Granado
Andalucía,Huelva,21038,Higuera De La Sierra
Andalucía,Huelva,21039,Hinojales
Andalucía,Huelva,21040,Hinojos
Andalucía,Huelva,21041,Huelva
Andalucía,Huelva,21042,Isla Cristina
Andalucía,Huelva,21043,Jabugo
Andalucía,Huelva,21044,Lepe
Andalucía,Huelva,21045,Linares De La Sierra
Andalucía,Huelva,21046,Lucena Del Puerto
Andalucía,Huelva,21047,Manzanilla
Andalucía,Huelva,21048,Los Marines
Andalucía,Huelva,21049,Minas De Riotinto
Andalucía,Huelva,21050,Moguer
Andalucía,Huelva,21051,La Nava
Andalucía,Huelva,21052,Nerva
Andalucía,Huelva,21053,Niebla
Andalucía,Huelva,21054,La Palma Del Condado
Andalucía,Huelva,21055,Palos De La Frontera
Andalucía,Huelva,21056,Paterna Del Campo
Andalucía,Huelva,21057,Paymogo
Andalucía,Huelva,21058,Puebla De Guzmán
Andalucía,Huelva,21059,Puerto Moral
Andalucía,Huelva,21060,Punta Umbría
Andalucía,Huelva,21061,Rociana Del Condado
Andalucía,Huelva,21062,Rosal De La Frontera
Andalucía,Huelva,21063,San Bartolomé De La Torre
Andalucía,Huelva,21064,San Juan Del Puerto
Andalucía,Huelva,21065,Sanlúcar De Guadiana
Andalucía,Huelva,21066,San Silvestre De Guzmán
Andalucía,Huelva,21067,Santa Ana La Real
Andalucía,Huelva,21068,Santa Bárbara De Casa
Andalucía,Huelva,21069,Santa Olalla Del Cala
Andalucía,Huelva,21070,Trigueros
Andalucía,Huelva,21071,Valdelarco
Andalucía,Huelva,21072,Valverde Del Camino
Andalucía,Huelva,21073,Villablanca
Andalucía,Huelva,21074,Villalba Del Alcor
Andalucía,Huelva,21075,Villanueva De Las Cruces
Andalucía,Huelva,21076,Villanueva De Los Castillejos
Andalucía,Huelva,21077,Villarrasa
Andalucía,Huelva,21078,Zalamea La Real
Andalucía,Huelva,21079,Zufre
Andalucía,Huelva,21902,La Zarza-Perrunal
Andalucía,Jaén,23001,Albanchez De Mágina
Andalucía,Jaén,23002,Alcalá La Real
Andalucía,Jaén,23003,Alcaudete
Andalucía,Jaén,23004,Aldeaquemada
Andalucía,Jaén,23005,Andújar
Andalucía,Jaén,23006,Arjona
Andalucía,Jaén,23007,Arjonilla
Andalucía,Jaén,23008,Arquillos
Andalucía,Jaén,23009,Baeza
Andalucía,Jaén,23010,Bailén
Andalucía,Jaén,23011,Baños De La Encina
Andalucía,Jaén,23012,Beas De Segura
Andalucía,Jaén,23014,Begíjar
Andalucía,Jaén,23015,Bélmez De La Moraleda
Andalucía,Jaén,23016,Benatae
Andalucía,Jaén,23017,Cabra Del Santo Cristo
